Time_s,EC_true,R_soil_true_Ohm,I_true_A,I_meas_A,I_comp_A,EC_raw,EC_est,Error_raw,Error_comp
16.126,1e-05,10000,9.99999684869674e-05,9.57824187908817e-05,6.52515578166929e-05,9.57819895883156e-06,6.52512197670112e-06,-4.21801041168442e-07,-3.47487802329888e-06
16.127,1e-05,10000,9.99999684869674e-05,9.6033923770541e-05,6.52654737357955e-05,9.60335900230317e-06,6.52651360558917e-06,-3.96640997696835e-07,-3.47348639441083e-06
16.128,1e-05,10000,9.99999684869674e-05,9.78177506796334e-05,6.52795791917634e-05,9.78174250018755e-06,6.52792479457291e-06,-2.1825749981245e-07,-3.47207520542709e-06
16.129,1e-05,10000,9.99999684869674e-05,9.56499667712022e-05,6.52946317746861e-05,9.56495243935808e-06,6.52943141271556e-06,-4.35047560641925e-07,-3.47056858728444e-06
16.13,1e-05,10000,9.99999684869674e-05,9.60640012974341e-05,6.5308537317792e-05,9.60636018663416e-06,6.53082384135502e-06,-3.93639813365841e-07,-3.46917615864498e-06
16.131,1e-05,10000,9.99999684869674e-05,9.68279312158391e-05,6.53223100397177e-05,9.68279306485587e-06,6.5322035554979e-06,-3.17206935144131e-07,-3.4677964445021e-06
16.132,1e-05,10000,9.99999684869674e-05,9.73498575125919e-05,6.53354821574129e-05,9.73495818976977e-06,6.53352364822217e-06,-2.65041810230235e-07,-3.46647635177783e-06
16.133,1e-05,10000,9.99999684869674e-05,9.4993270926479e-05,6.53497951687938e-05,9.4993066975724e-06,6.5349586848563e-06,-5.00693302427602e-07,-3.4650413151437e-06
16.134,1e-05,10000,9.99999684869674e-05,9.55318169239862e-05,6.53634711393133e-05,9.55316715991269e-06,6.53633044019649e-06,-4.46832840087311e-07,-3.46366955980351e-06
16.135,1e-05,10000,9.99999684869674e-05,9.48097345240902e-05,6.53766291674154e-05,9.48092619239593e-06,6.53765078750886e-06,-5.19073807604069e-07,-3.46234921249114e-06
16.136,1e-05,10000,9.99999684869674e-05,9.39324086435837e-05,6.53903646563942e-05,9.39319433503871e-06,6.53902964952426e-06,-6.06805664961295e-07,-3.46097035047574e-06
16.137,1e-05,10000,9.99999684869674e-05,9.74398634454914e-05,6.54039775364826e-05,9.74394042297918e-06,6.54039677721287e-06,-2.56059577020818e-07,-3.45960322278713e-06
16.138,1e-05,10000,9.99999684869674e-05,9.63995803135427e-05,6.54179634627782e-05,9.63995047089971e-06,6.54179281361475e-06,-3.60049529100293e-07,-3.45820718638525e-06
16.139,1e-05,10000,9.99999684869674e-05,9.75523737250576e-05,6.54313765412216e-05,9.75519183727553e-06,6.54312862257062e-06,-2.44808162724474e-07,-3.45687137742938e-06
16.14,1e-05,10000,9.99999684869674e-05,9.68926268467415e-05,6.54444276340825e-05,9.68923798761706e-06,6.54442890512248e-06,-3.10762012382937e-07,-3.45557109487753e-06
16.141,1e-05,10000,9.99999684869674e-05,9.96976528883983e-05,6.54578567581666e-05,9.96972055168983e-06,6.54576739056603e-06,-3.0279448310166e-08,-3.45423260943397e-06
16.142,1e-05,10000,9.99999684869674e-05,9.54229638404826e-05,6.54719626110265e-05,9.5422727298527e-06,6.54717391550953e-06,-4.57727270147302e-07,-3.45282608449047e-06
16.143,1e-05,10000,9.99999684869674e-05,9.61286618946371e-05,6.54850606757689e-05,9.61281848098731e-06,6.54848049305958e-06,-3.87181519012693e-07,-3.45151950694042e-06
16.144,1e-05,10000,9.99999684869674e-05,9.91863588024715e-05,6.54994777950768e-05,9.91860164638737e-06,6.54991925393733e-06,-8.13983536126352e-08,-3.45008074606267e-06
16.145,1e-05,10000,9.99999684869674e-05,9.84525937237441e-05,6.55135392173233e-05,9.84521298434396e-06,6.55132312706063e-06,-1.5478701565604e-07,-3.44867687293937e-06
16.146,1e-05,10000,9.99999684869674e-05,9.23140348311175e-05,6.55275262322009e-05,9.23136237941971e-06,6.55272016860991e-06,-7.68637620580289e-07,-3.4472798313901e-06
16.147,1e-05,10000,9.99999684869674e-05,9.82189427513426e-05,6.55415768414144e-05,9.82187756131922e-06,6.55412416207004e-06,-1.78122438680782e-07,-3.44587583792996e-06
16.148,1e-05,10000,9.99999684869674e-05,9.9389035404179e-05,6.55547760142202e-05,9.93885994936723e-06,6.55544362474541e-06,-6.11400506327729e-08,-3.44455637525459e-06
16.149,1e-05,10000,9.99999684869674e-05,9.68633151504801e-05,6.55681199891803e-05,9.68631691912629e-06,6.5567781027962e-06,-3.13683080873708e-07,-3.4432218972038e-06
16.15,1e-05,10000,9.99999684869674e-05,9.60831196420943e-05,6.55814441546588e-05,9.60826882132935e-06,6.55811114199406e-06,-3.91731178670655e-07,-3.44188885800594e-06
16.151,1e-05,10000,9.99999684869674e-05,9.71542123903207e-05,6.55945477938312e-05,9.71538462548864e-06,6.55942264701176e-06,-2.84615374511359e-07,-3.44057735298824e-06
16.152,1e-05,10000,9.99999684869674e-05,9.45196276160577e-05,6.56084681131012e-05,9.45193147284864e-06,6.56081646589304e-06,-5.48068527151365e-07,-3.43918353410696e-06
16.153,1e-05,10000,9.99999684869674e-05,9.74744861031021e-05,6.56220209408829e-05,9.7474000421067e-06,6.56217405766623e-06,-2.52599957893296e-07,-3.43782594233377e-06
16.154,1e-05,10000,9.99999684869674e-05,9.41905322782667e-05,6.56360992043865e-05,9.41905009807198e-06,6.56358487759063e-06,-5.80949901928025e-07,-3.43641512240937e-06
16.155,1e-05,10000,9.99999684869674e-05,9.62023222053832e-05,6.56501662635287e-05,9.62018625479661e-06,6.56499518073474e-06,-3.79813745203393e-07,-3.43500481926526e-06
16.156,1e-05,10000,9.99999684869674e-05,9.78626592026575e-05,6.56631488442151e-05,9.78622372367964e-06,6.56629729659091e-06,-2.13776276320363e-07,-3.43370270340909e-06
16.157,1e-05,10000,9.99999684869674e-05,9.73963607148303e-05,6.56768886778639e-05,9.73959695522161e-06,6.56767592548024e-06,-2.60403044778392e-07,-3.43232407451977e-06
16.158,1e-05,10000,9.99999684869674e-05,9.23583397136365e-05,6.56911789819838e-05,9.23580186476059e-06,6.56911040182331e-06,-7.64198135239411e-07,-3.43088959817669e-06
16.159,1e-05,10000,9.99999684869674e-05,9.62966084741883e-05,6.57050503276418e-05,9.62963360923785e-06,6.57050342211912e-06,-3.70366390762153e-07,-3.42949657788088e-06
16.16,1e-05,10000,9.99999684869674e-05,9.54527837692461e-05,6.57192067041419e-05,9.54526520785878e-06,6.57191769972565e-06,-4.54734792141223e-07,-3.42808230027435e-06
16.161,1e-05,10000,9.99999684869674e-05,9.57871372380761e-05,6.57328200973727e-05,9.57867152732357e-06,6.57327340670305e-06,-4.21328472676433e-07,-3.42672659329695e-06
16.162,1e-05,10000,9.99999684869674e-05,9.61974942229524e-05,6.57463931691998e-05,9.61970299647533e-06,6.57462565518632e-06,-3.80297003524674e-07,-3.42537434481368e-06
16.163,1e-05,10000,9.99999684869674e-05,9.52968608114491e-05,6.57599866079251e-05,9.52963880396878e-06,6.57598049050338e-06,-4.70361196031223e-07,-3.42401950949662e-06
